Question (Generative Setup),Answer (Generative Setup),Positive (Minimal Pairs Setup),Negative (Minimal Pairs Setup),Challenge Set
Vilka djur anar man i mossen när man misstänker att något är fel?,Ugglor,"När man misstänker att något är fel, anar man ugglor i mossen.","När man misstänker att något är fel, anar man råttor i mossen.",x
När en strängare ordning ska införas så ska det bli andra...,Bullar,När en strängare ordning ska införas så ska det bli andra bullar.,När en strängare ordning ska införas så ska det bli andra strängar.,x
När man blir utsatt för hämnd får man betalt för gammal...,Ost,När man blir utsatt för hämnd får man betalt för gammal ost.,När man blir utsatt för hämnd får man betalt för gammal kål.,x
När man blir kraftigt tillrättvisad får man sina fiskar...,Varma,När man blir kraftigt tillrättavisad får man sina fiskar varma.,När man blir kraftigt tillrättavisad får man sina fiskar heta.,x
När man når framgång utan ansträngning glider man fram på en...,Räkmacka,När man når framgång utan ansträngning glider man fram på en räkmacka.,När man når framgång utan ansträngning glider man fram på en pulka.,x
Hur avslutar man frasen som sägs för att påpeka att ett svar inte har någon som helst relevans för en fråga? Goddag...,Yxskaft,"Goddag yxskaft, det du säger har inget med saken att göra.","Goddag halmstrå, det du säger har inget med saken att göra.",x
När en sista detalj fulländar något så är den som grädde på...,Moset,När en sista detalj fulländar något så är den som grädde på moset.,När en sista detalj fulländar något så är den som grädde på tårtan.,x
När man fortsätter med något som man alltid har gjort utan hänsynstagande då går man på i...,Ullstrumporna,När man fortsätter med något som man alltid har gjort utan hänsynstagande då går man på i ullstrumporna.,När man fortsätter med något som man alltid har gjort utan hänsynstagande då går man på i kängorna.,x
När allt går helt smidigt och problemfritt då går det som på...,Räls,När allt går helt smidigt och problemfritt då går det som på räls.,När allt går helt smidigt och problemfritt då går det som på spåret.,
När allt går helt smidigt och problemfritt då går det som en...,Dans,När allt går helt smidigt och problemfritt då går det som en dans.,När allt går helt smidigt och problemfritt då går det som en fest.,
När allt går helt fel och verkar omöjligen kunna komma till rätta så är det som att dessa har gått i det.,Troll,När allt går helt fel och verkar omöjligen kunna komma till rätta så är det som att dessa har gått troll i.,När allt går helt fel och verkar omöjligen kunna komma till rätta så är det som att dessa har gått eld i.,x
När något går alldeles galet så går det åt...,Skogen ,När något går alldeles galet så går det åt skogen.,När något går alldeles galet så går det åt byxan.,x
En pinsam felsägning kallas också för en...,Groda,En pinsam felsägning kallas också för en groda.,En pinsam felsägning kallas också för en katt.,x
När man är tvungen att ödmjukt be om ursäkt så gör man en...,Pudel,När man är tvungen att ödmjukt be om ursäkt så gör man en pudel.,När man är tvungen att ödmjukt be om ursäkt så gör man en hund.,
När man avskedar en person ger man hen...,Sparken,När man avskedar en person ger man hen sparken.,När man avskedar en person ger man hen döden.,
En person som får växter att trivas har gröna...,Fingrar,En person som får växter att trivas har gröna fingrar.,En person som får växter att trivas har gröna tummar.,
När man håller på att bli utmattat av arbete går man på...,Knäna,När man håller på att bli utmattad av arbete går man på knäna.,När man håller på att bli utmattad av arbete går man på tandköttet.,x
Ett skämtsamt uttryck för att vara gravid är att ha vad för något i ugnen? ,Bulle,Ett skämtsamt uttryck för att vara gravid är att ha en bulle i ugnen.,Ett skämtsamt uttryck för att vara gravid är att ha ett bröd i ugnen.,
