correct,incorrect,type
Man får hoppas att det statliga lekrådet skall få tillräckliga resurser för forskning.,Man får hoppas att det statliga lekrådet skall få tillräckliga för resurser forskning.,flip_neighbours
"Eftersom varje fiber i mitt ' själv ', i mitt ' jag ' är märkt av syndafallet, blir varje allvarligt självförverkligande motsatsen till kärlek.","Eftersom varje fiber i mitt ' själv ', i mitt ' jag ' är märkt syndafallet, blir varje allvarligt självförverkligande motsatsen till kärlek.",delete
På många orter ger arbetsförmedlingen ut lokala platslistor och i tidningen Arbetsmarknaden finns ett urval av lediga platser från hela landet.,På många orter ger arbetsförmedlingen ut lokala platslistor och i tidningen Arbetsmarknaden finns ett urval lediga platser från hela landet.,delete
"Efter valets slut körs boxen till närmaste datacentral, som tar hand om innehållet.","Valets efter slut körs boxen till närmaste datacentral, som tar hand om innehållet.",flip_neighbours
På slutskattesedeln finns den pensionsgrundande inkomsten angiven.,På slutskattesedeln finns den pensionsgrundande angiven.,delete
"De tre var: skalningsindustrin, representerad av storföretaget Ollo-Food i Avesta, potatisodlingens högsta instans docent Birger Svensson, Lantbrukshögskolan, och ' väckarklockan ' Björn Gillberg.","De tre var: skalningsindustrin, representerad av storföretaget Ollo-Food i Avesta, potatisodlingens högsta instans docent Birger Svensson, Lantbrukshögskolan, och ' ' Björn Gillberg.",delete
Den ensamme och sjuke kan meddela sig.,Den ensamme och sjuke meddela kan sig.,flip_neighbours
Svaret på frågan beror på ett flertal faktorer och kan därför bara bli en ganska osäker prognos.,Svaret på frågan beror ett flertal faktorer och kan därför bara bli en ganska osäker prognos.,delete
Men befolkningsexplosionen är unik i jordens historia.,Men befolkningsexplosionen är unik jordens historia.,delete
"Det finns internationella strävanden, i synnerhet inom EEC, till en synkronisering just av socialpolitiken.","Det finns internationella strävanden, i inom synnerhet EEC, till en synkronisering just av socialpolitiken.",flip_neighbours
"Mot detta invänds, att även om gruppäktenskap skulle lösa vissa problem, skulle andra problem skapas, då inte längre en man och en kvinna kunde göra anspråk på att få rå om varandra.","Mot detta invänds, att även om gruppäktenskap skulle lösa vissa problem, skulle andra problem skapas, då inte längre en man och en kvinna kunde göra anspråk att på få rå om varandra.",flip_neighbours
"Det betyder att u-länderna, som har sämst råd, måste satsa mest på utbildning.","betyder att u-länderna, som har sämst råd, måste satsa mest på utbildning.",delete
"Se SOU 1964:58, kap. 4; Blomberg, kap. 3; Eriksson, Kap. Samhället och ungdomsbrottslingarna.","Se SOU 1964:58, kap. 4; Blomberg, kap. 3;, Kap. Samhället och ungdomsbrottslingarna.",delete
Minneslista för grejer som du ska göra åt bilen - detaljer som ska kontrolleras:,Minneslista för grejer som ska du göra åt bilen - detaljer som ska kontrolleras:,flip_neighbours
Sen har många nya vindar blåst.),Sen har många nya blåst.),delete
Många är motståndare till att ha en hund i staden.,Många är motståndare till att en ha hund i staden.,flip_neighbours
Men så länge det råder brist på daghemsplatser måste de förvärvsarbetande föräldrarnas barn komma i första hand.,Men så det länge råder brist på daghemsplatser måste de förvärvsarbetande föräldrarnas barn komma i första hand.,flip_neighbours
"Federalisterna - främst Belgien, Holland, Luxemburg - vill inte att EEC:s politiska målsättning ska uttunnas av att det neutrala Sverige kommer med.","Federalisterna - främst Belgien, Holland, Luxemburg - vill inte EEC:s att politiska målsättning ska uttunnas av att det neutrala Sverige kommer med.",flip_neighbours
"Det är på männens medverkan det beror, om vi skall komma så värst mycket längre.","Det är på männens medverkan det beror, om vi komma så värst mycket längre.",delete
"De behövs i hemmen och ute i arbetslivet, de är flitiga som myror men ger sig vanligen inte tid med något utanför deras egen inrutade tillvaro.","De behövs i hemmen och ute i arbetslivet, de är flitiga myror men ger sig vanligen inte tid med något utanför deras egen inrutade tillvaro.",delete
"I början sågs kommissionen som en upptakt till en Europaregering, med åtföljande politisk makt, men nu har den reducerats till en utpräglad ' tjänstemannamaffia '.","I början sågs kommissionen som en upptakt till en Europaregering, med åtföljande politisk makt, men nu har den reducerats en till utpräglad ' tjänstemannamaffia '.",flip_neighbours
Men det är svårt att se hur man skulle kunna komma ifrån de två nämnda principernas betydelse för ett ordinärt äktenskap: konsensusförklaring och offentligheten.,Men det svårt att se hur man skulle kunna komma ifrån de två nämnda principernas betydelse för ett ordinärt äktenskap: konsensusförklaring och offentligheten.,delete
Men använder de kunskaperna i till exempel matlagning hemma?,Men använder de kunskaperna till exempel matlagning hemma?,delete
För Sverige var ökningen cirka 79 proc.,För var ökningen cirka 79 proc.,delete
Under evolutionen har djur med grupp- eller samhällsbildande beteende gynnats vid selektionen.,Under evolutionen har djur med grupp- samhällsbildande beteende gynnats vid selektionen.,delete
Gör monogami det svårare för dem som inte får tillfälle att leva i ett ordnat monogamt äktenskap att finna meningsfulla roller?,Gör monogami det svårare dem för som inte får tillfälle att leva i ett ordnat monogamt äktenskap att finna meningsfulla roller?,flip_neighbours
"Den form av lagstiftning som undanröjt yttre formella hinder för gifta kvinnors förvärvsarbete har sannolikt gett stöd åt och förstärkt mera yrkesvänliga hustrurollnormer, men man får utgå från en viss eftersläpning av äldre familjeideal med inslag av yrkesfientlighet för kvinnornas del.","Den form av lagstiftning som undanröjt yttre formella hinder gifta för kvinnors förvärvsarbete har sannolikt gett stöd åt och förstärkt mera yrkesvänliga hustrurollnormer, men man får utgå från en viss eftersläpning av äldre familjeideal med inslag av yrkesfientlighet för kvinnornas del.",flip_neighbours
Var och en av personerna förekom tillsammans med samtliga andra men endast en gång tillsammans med var och en av dem.,Var och en av personerna förekom tillsammans med samtliga andra endast men en gång tillsammans med var och en av dem.,flip_neighbours
Samhället har också givit dig en rad förmåner och dessa redovisas längre fram i broschyren.,Har samhället också givit dig en rad förmåner och dessa redovisas längre fram i broschyren.,flip_neighbours
"Formellt sker Danmarks och Norges förhandlingar, som gäller fullt medlemskap, med ministerrådet.","Formellt sker Danmarks och Norges förhandlingar, som gäller fullt medlemskap, ministerrådet.",delete
Kan man komma tillrätta med bostadsköerna?,Man kan komma tillrätta med bostadsköerna?,flip_neighbours
"I stället uppkom nya centra: Nässjö, Alvesta, Hässleholm, Eslöv.","Stället I uppkom nya centra: Nässjö, Alvesta, Hässleholm, Eslöv.",flip_neighbours
Det krävs stora förmögenheter för att giftorätten skall ge någon form av trygghet för den hemarbetande maken.,Det krävs stora förmögenheter för att giftorätten skall ge någon form trygghet av för den hemarbetande maken.,flip_neighbours
I Sverige vårdas 15000-20000 personer på mentalsjukhus för schizofreni.,I Sverige 15000-20000 vårdas personer på mentalsjukhus för schizofreni.,flip_neighbours
